# num lines	# mcdc coverage	# branch coverage	# num trans	# trans with more than 2 conds
1	0.0	0.0	1	1
5	0.0	0.0	2	2
9	0.0	0.0	3	3
14	0.0	0.0	4	4
15	0.0	9.090909090909091	4	4
22	9.090909090909091	9.090909090909091	4	4
78	9.090909090909091	9.090909090909091	5	4
80	18.181818181818182	18.181818181818182	5	4
94	18.181818181818182	18.181818181818182	6	4
8622	18.181818181818182	18.181818181818182	7	4
8624	27.27272727272727	27.27272727272727	7	4
9649	27.27272727272727	27.27272727272727	8	5
10297	27.27272727272727	36.363636363636365	8	5
20880	27.27272727272727	45.454545454545453	8	5
21502	27.27272727272727	45.454545454545453	9	5
21510	27.27272727272727	45.454545454545453	10	5
37853	36.363636363636365	45.454545454545453	10	5
37871	45.454545454545453	45.454545454545453	10	5
233819	45.454545454545453	45.454545454545453	10	5
