# num lines	# mcdc coverage	# branch coverage	# num trans	# trans with more than 2 conds
1	0.0	0.0	1	0
2	0.0	0.0	2	0
3	0.0	0.0	3	0
4	0.0	0.0	4	0
5	0.0	0.0	5	0
6	0.0	0.0	6	0
7	0.0	0.0	7	0
8	0.0	0.0	8	0
16	3.125	3.125	8	0
31	6.25	6.25	8	0
40	6.25	6.25	9	1
46	9.375	9.375	9	1
273	9.375	12.5	9	1
611	12.5	15.625	9	1
817	12.5	15.625	10	2
818	12.5	18.75	10	2
826	12.5	18.75	11	3
828	12.5	18.75	12	3
830	12.5	18.75	13	4
831	12.5	21.875	13	4
833	12.5	21.875	14	5
2096	12.5	21.875	15	6
2107	15.625	25	15	6
2110	15.625	28.125	15	6
2131	15.625	28.125	16	7
2132	15.625	28.125	17	8
2141	15.625	28.125	18	9
2193	15.625	31.25	18	9
5384	18.75	34.375	18	9
5550	18.75	34.375	19	10
5639	21.875	37.5	19	10
5651	25	40.625	19	10
5661	25	43.75	19	10
5829	28.125	43.75	19	10
16992	31.25	46.875	19	10
51129	34.375	50	19	10
1869574	34.375	50	20	10
1869575	34.375	50	21	10
1869576	34.375	50	22	10
1869577	34.375	50	23	10
1869578	34.375	50	24	10
1869579	34.375	50	25	10
1869580	34.375	50	26	11
1869581	34.375	50	27	12
1869582	37.5	53.125	27	12
1870687	40.625	56.25	27	12
1870688	43.75	59.375	27	12
1870689	46.875	62.5	27	12
1870903	50	65.625	27	12
1870904	53.125 68.75	27	12
1870932	53.125	68.75	28	12
1874516	53.125	71.875	28	12
1874701	53.125	71.875	29	12
1874702	53.125	71.875	30	12
1874703	53.125	71.875	31	12
1930178	53.125	75	31	12
2041872	56.25	78.125	31	12
3134972	56.25	78.125	32	13
3134973	56.25	81.25	32	13
3169039	59.375	84.375	32	13
3716896	59.375	84.375	32	13
