# num lines	# mcdc coverage	# branch coverage	# num trans	# trans with more than 2 conds
1	0.0	0.0	1	0
3	0.0	0.0	2	1
4	0.0	0.0	3	2
6	0.0	0.0	4	3
8	0.0	0.0	5	4
12	0.0	0.0	6	5
16	0.0	0.0	7	6
20	0.0	0.0	8	7
22	0.0	0.0	9	7
24	0.0	0.0	10	8
28	0.0	0.0	11	9
32	0.0	0.0	12	10
36	0.0	0.0	13	11
40	0.0	0.0	14	12
47	0.0	0.0	15	13
51	0.0	0.0	16	14
52	0.0	0.0	17	14
70	0.0	5.555555555555555	17	14
125	0.0	11.11111111111111	17	14
188	0.0	16.666666666666666	17	14
212	0.0	16.666666666666666	18	14
1041	5.555555555555555	16.666666666666666	18	14
1059	11.11111111111111	22.22222222222222	18	14
3870	11.11111111111111	22.22222222222222	18	14
