# num lines	# mcdc coverage	# branch coverage	# num trans	# trans with more than 2 conds
1	0.0	0.0	1	1
16	0.0	0.07692307692307693	1	1
17	0.0	0.07692307692307693	2	2
19	0.0	0.07692307692307693	3	3
20	0.0	0.07692307692307693	4	4
21	0.0	0.07692307692307693	5	5
22	0.0	0.07692307692307693	6	6
23	0.0	0.07692307692307693	7	7
24	0.0	0.07692307692307693	8	8
25	0.0	0.07692307692307693	9	9
26	0.0	0.07692307692307693	10	10
29	0.0	0.07692307692307693	11	11
32	0.0	0.07692307692307693	12	12
33	0.0	0.07692307692307693	13	13
36	0.0	0.15384615384615385	13	13
72	0.0	0.23076923076923078	13	13
79	0.0	0.3076923076923077	13	13
295	0.0	0.38461538461538464	13	13
297	0.0	0.46153846153846156	13	13
1099	0.0	0.5384615384615384	13	13
3196	0.0	0.6153846153846154	13	13
4495	0.07692307692307693	0.6153846153846154	13	13
4502	0.07692307692307693	0.6923076923076923	13	13
4513	0.15384615384615385	0.6923076923076923	13	13
4519	0.15384615384615385	0.7692307692307693	13	13
4524	0.15384615384615385	0.8461538461538461	13	13
21717	0.23076923076923078	0.8461538461538461	13	13
22020	0.3076923076923077	0.8461538461538461	13	13
32039	0.38461538461538464	0.8461538461538461	13	13
32086	0.38461538461538464	0.9230769230769231	13	13
32872	0.46153846153846156	0.9230769230769231	13	13
194481	0.5384615384615384	0.9230769230769231	13	13

