# num lines	# mcdc coverage	# branch coverage	# num trans	# trans with more than 2 conds
1	0.0	0.0	1	1
13	0.0	0.1	1	1
14	0.0	0.1	2	2
15	0.0	0.1	3	3
16	0.0	0.1	4	4
17	0.0	0.2	4	4
19	0.0	0.2	5	5
20	0.0	0.2	6	6
21	0.0	0.2	7	7
22	0.0	0.2	8	8
23	0.0	0.2	9	9
169	0.0	0.3	9	9
175	0.0	0.4	9	9
199	0.0	0.5	9	9
2924	0.1	0.5	9	9
2938	0.1	0.6	9	9
7970	0.2	0.6	9	9
7982	0.2	0.7	9	9
8388	0.3	0.7	9	9
15102	0.3	0.8	9	9
30223	0.4	0.8	9	9
47593	0.5	0.8	9	9
52678	0.6	0.8	9	9
65445	0.7	0.8	9	9
8677339	0.8	0.8	9	9
8677617	0.8	0.9	9	9
8677618	0.9	0.9	9	9
8677622	0.9	0.9	10	9
8677800	0.9	0.9	10	9
