# num lines	# mcdc coverage	# branch coverage	# num trans	# trans with more than 2 conds
1	0.0	0.0	1	0
3	0.0	0.0	2	0
5	0.0	0.0	3	0
7	0.0	0.0	4	0
9	0.05263157894736842	0.05263157894736842	4	0
10	0.10526315789473684	0.10526315789473684	4	0
11	0.15789473684210525	0.15789473684210525	4	0
12	0.21052631578947367	0.21052631578947367	4	0
13	0.21052631578947367	0.21052631578947367	5	0
15	0.21052631578947367	0.21052631578947367	6	0
16	0.21052631578947367	0.21052631578947367	7	1
18	0.21052631578947367	0.21052631578947367	8	2
19	0.21052631578947367	0.21052631578947367	9	2
20	0.21052631578947367	0.21052631578947367	10	2
23	0.21052631578947367	0.21052631578947367	11	3
24	0.21052631578947367	0.21052631578947367	12	3
25	0.21052631578947367	0.21052631578947367	13	4
26	0.21052631578947367	0.21052631578947367	14	5
27	0.21052631578947367	0.21052631578947367	15	5
28	0.21052631578947367	0.21052631578947367	16	5
37	0.2631578947368421	0.2631578947368421	16	5
54	0.2631578947368421	0.3157894736842105	16	5
61	0.3157894736842105	0.3684210526315789	16	5
63	0.3684210526315789	0.42105263157894735	16	5
70	0.42105263157894735	0.47368421052631576	16	5
71	0.42105263157894735	0.47368421052631576	17	6
72	0.47368421052631576	0.5263157894736842	17	6
73	0.47368421052631576	0.5263157894736842	18	6
4895	0.47368421052631576	0.5789473684210527	18	6
6769	0.5263157894736842	0.631578947368421	18	6
186233	0.5263157894736842	0.6842105263157895	18	6
186234	0.5263157894736842	0.6842105263157895	19	6
189985	0.5263157894736842	0.7368421052631579	19	6
189986	0.5263157894736842	0.7894736842105263	19	6
193728	0.5789473684210527	0.7894736842105263	19	6
193733	0.631578947368421	0.7894736842105263	19	6
193735	0.6842105263157895	0.7894736842105263	19	6
213735	0.6842105263157895	0.7894736842105263	19	6
#3152354	0.6842105263157895	0.7894736842105263	19	6
