# num lines	# mcdc coverage	# branch coverage	# num trans	# trans with more than 2 conds
1	0.0	0.0	1	1
22	0.0	0.05263157894736842	1	1
23	0.0	0.05263157894736842	2	2
24	0.0	0.05263157894736842	3	3
25	0.0	0.05263157894736842	4	4
26	0.0	0.05263157894736842	5	5
27	0.0	0.05263157894736842	6	6
28	0.0	0.05263157894736842	7	7
29	0.0	0.05263157894736842	8	8
30	0.0	0.05263157894736842	9	9
31	0.0	0.05263157894736842	10	10
32	0.0	0.05263157894736842	11	11
33	0.0	0.05263157894736842	12	12
34	0.0	0.05263157894736842	13	13
35	0.0	0.05263157894736842	14	14
36	0.0	0.05263157894736842	15	15
37	0.0	0.05263157894736842	16	16
38	0.0	0.05263157894736842	17	17
39	0.0	0.05263157894736842	18	18
40	0.0	0.05263157894736842	19	19
69	0.0	0.10526315789473684	19	19
75	0.0	0.15789473684210525	19	19
182	0.0	0.21052631578947367	19	19
209	0.0	0.2631578947368421	19	19
214	0.05263157894736842	0.2631578947368421	19	19
448	0.05263157894736842	0.3157894736842105	19	19
462	0.05263157894736842	0.3684210526315789	19	19
1623	0.05263157894736842	0.42105263157894735	19	19
1911	0.10526315789473684	0.42105263157894735	19	19
2327	0.10526315789473684	0.47368421052631576	19	19
6317	0.10526315789473684	0.5263157894736842	19	19
8371	0.10526315789473684	0.5789473684210527	19	19
10042	0.15789473684210525	0.5789473684210527	19	19
23145	0.15789473684210525	0.631578947368421	19	19
29977	0.15789473684210525	0.6842105263157895	19	19
31415	0.15789473684210525	0.7368421052631579	19	19
31747	0.21052631578947367	0.7368421052631579	19	19
33955	0.2631578947368421	0.7368421052631579	19	19
122040	0.3157894736842105	0.7368421052631579	19	19
126368	0.3684210526315789	0.7368421052631579	19	19
140228	0.42105263157894735	0.7368421052631579	19	19
351302	0.47368421052631576	0.7368421052631579	19	19
1865420	0.5263157894736842	0.7368421052631579	19	19
2065420	0.5263157894736842	0.7368421052631579	19	19
#10789149 0.5263157894736842	0.7368421052631579	19	19
